Time, Marker
1690478.166600, CalValue:1.0906
1690478.193911, CalValue:1.0142
1690478.227076, CalValue:1.0363
1690478.259278, CalValue:1.007
1690478.290261, CalValue:1.0322
1690478.322013, CalValue:1.045
1690478.348974, CalValue:1.0201
1690478.378052, CalValue:1.0586
1690478.404244, CalValue:1.1655
1690478.431018, CalValue:1.2677
1690478.459902, CalValue:1.3552
1690478.488966, CalValue:1.195
1690478.515446, CalValue:1.2862
1690478.543242, CalValue:1.3137
1690478.569616, CalValue:1.3369
1690478.596894, CalValue:1.3669
1690478.627809, CalValue:1.3383
1690478.656807, CalValue:1.3128
1690478.683154, CalValue:1.2842
1690478.711446, CalValue:1.2644
1690478.737913, CalValue:1.2706
1690478.764400, CalValue:1.2099
1690478.793584, CalValue:1.2082
1690478.827460, CalValue:1.2788
1690478.856961, CalValue:1.251
1690478.883347, CalValue:1.1352
1690478.911061, CalValue:1.1311
1690478.937435, CalValue:1.0904
1690478.963990, CalValue:1.0457
1690478.995133, CalValue:1.1506
1690479.027980, CalValue:1.1553
1690479.057281, CalValue:1.0868
1690479.083927, CalValue:1.0423
1690479.113042, CalValue:1.0222
1690479.139742, CalValue:1.1036
1690479.166102, CalValue:1.1388
1690479.194436, CalValue:1.2073
1690479.222676, CalValue:1.0914
1690479.248940, CalValue:1.1291
1690479.276635, CalValue:1.1542
1690479.303094, CalValue:1.1936
1690479.329270, CalValue:1.1039
1690479.355881, CalValue:1.036
1690479.382443, CalValue:1.0085
1690479.409846, CalValue:0.85869
1690479.436029, CalValue:0.76208
1690479.462460, CalValue:0.76594
1690479.488914, CalValue:0.84683
1690479.515001, CalValue:0.77721
1690479.542066, CalValue:0.68175
1690479.570119, CalValue:0.77713
1690479.596328, CalValue:0.67749
1690479.622625, CalValue:0.68644
1690479.648981, CalValue:0.72421
1690479.675815, CalValue:0.64166
1690479.702099, CalValue:0.72006
1690479.728648, CalValue:0.72933
1690479.755120, CalValue:0.75684
1690479.781619, CalValue:0.85988
1690479.809202, CalValue:0.95744
1690479.835463, CalValue:0.95326
1690479.861755, CalValue:0.98402
1690479.888785, CalValue:1.0949
1690479.915165, CalValue:1.0672
1690479.942355, CalValue:1.2599
1690479.968593, CalValue:1.3518
1690479.994801, CalValue:1.4661
1690480.022462, CalValue:1.5227
1690480.048614, CalValue:1.4692
1690480.075458, CalValue:1.3951
